Suite, Main-Scenario, Sub-Scenario, Test, Parameter,20220829,20220830
GMPO Sanity Suite, sanity user signup_001, genericTestGenerator.GMPOAuto, Verify,"  ""Adding All requred Aliens""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""signup"" ", passed, passed
GMPO Sanity Suite, sanity user signup_001, genericTestGenerator.GMPOAuto, Verify,"  ""User Signup for planner""- ""Row_6""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""signup"" ", passed, passed
GMPO Sanity Suite, sanity user signup_001, genericTestGenerator.GMPOAuto, Verify,"  ""User Signup for generic user""- ""Row_12""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""signup"" ", passed, passed
GMPO Sanity Suite, sanity user signup_001, genericTestGenerator.GMPOAuto, Verify,"  ""Adding All requred layout template""- ""Row_15""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""signup"" ", passed, passed
GMPO Sanity Suite, Upgrade N Release Upgrade - Import MPZ , genericTestGenerator.GMPOAuto, Verify,"  ""SSON_Release upgrade and analyze""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ImportMPZ"" ", passed, passed
GMPO Sanity Suite, Upgrade N Release Upgrade - Import MPZ , genericTestGenerator.GMPOAuto, Verify,"  ""Non SSON Release upgrade and analyze""- ""Row_29""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ImportMPZ"" ", passed, failed
GMPO Sanity Suite, Upgrade N Release Upgrade - Import MPZ , genericTestGenerator.GMPOAuto, Verify,"  ""Verify Layer 2 enabled mpz import is working fine""- ""Row_56""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ImportMPZ"" ", passed, passed
GMPO Sanity Suite, Upgrade N Release Upgrade - Import MPZ , genericTestGenerator.GMPOAuto, Verify,"  ""Verify 11.0 Release mpz import is working fine.""- ""Row_64""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ImportMPZ"" ", passed, passed
GMPO Sanity Suite, Sanity Setup, genericTestGenerator.GMPOAuto, Verify,"  ""Create Base topology""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""SetUp"" ", passed, passed
GMPO Sanity Suite, Sanity Setup, genericTestGenerator.GMPOAuto, Verify,"  ""Creating Non sson colorless topology for Wahtif feature""- ""Row_23""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""SetUp"" ", passed, passed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Pure Contnetionless config analysis is working fine""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, passed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Pure colorless config analysis is working fine""- ""Row_14""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, passed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Pure colored config analysis is working fine""- ""Row_27""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, passed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Non SSON Mix config - CDC+Colorless(DirectSMR)- CDC+48- Colored(48)+cololress(DirectSMR)""- ""Row_35""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, failed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""Colorless_Verify colored MCH and OTN for Non SSON network""- ""Row_44""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, passed
GMPO Sanity Suite, Configuration Test, genericTestGenerator.GMPOAuto, Verify,"  ""1. Verify SSON Mix config - CDC+Colorless(DirectSMR)- CDC+MD-64- Colored(MD-64)+cololress(DirectSMR)\n2. Different Alien interface forcing.""- ""Row_71""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""ConfigTest"" ", passed, passed
GMPO Sanity Suite, Default Value, genericTestGenerator.GMPOAuto, Verify,"  ""Non SSON>> Verify Default value for different property in Network- Site-Fiber Wave- Services etc.""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""DefaultValue"" ", passed, passed
GMPO Sanity Suite, Upgrade N Release Upgrade- Excel Import, genericTestGenerator.GMPOAuto, Verify,"  ""Direct SMR Colorless and colored demands are routing via long path when MD-62 is not forced on shot path but forced on the long path""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""Excel_Upgrade_RelUpg"" ", passed, passed
GMPO Sanity Suite, Upgrade N Release Upgrade- Excel Import, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Non SSON Mix config - CDC+Colorless(DirectSMR)- CDC+48- Colored(48)+cololress(DirectSMR) in upgrade mode""- ""Row_18""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""Excel_Upgrade_RelUpg"" ", passed, failed
GMPO Sanity Suite, WhatIf Scenario, genericTestGenerator.GMPOAuto, Verify,"  ""Verify What if for sson network with fiber failure""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""PlanMode"" ", passed, passed
GMPO Sanity Suite, WhatIf Scenario, genericTestGenerator.GMPOAuto, Verify,"  ""Verify What if for non sson network with fiber and node failure""- ""Row_12""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""PlanMode"" ", passed, passed
GMPO Sanity Suite, Share Network Test, genericTestGenerator.GMPOAuto, Verify,"  ""Verify Share network is working fine.""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""Share"" ", passed, passed
GMPO Sanity Suite, LayoutEdit Test, genericTestGenerator.GMPOAuto, Verify,"  ""1. Verify 4k& 1k Rack and card addition. \\n\n2. MLC- TTI and Pluggable addition also.""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""LayoutEdit"" ", passed, passed
GMPO Sanity Suite, 1010 Test, genericTestGenerator.GMPOAuto, Verify,"  ""Import Excel 1010 network- Verify Default Properties- Update Colored and colorless Add/Drops in Site level and Power Supply and MF Unit in Side and Site level- Regen in Circuits- Raman forcing in Fiber- loss in fiber and Verify BOM- TM.""- ""Row_2""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""1010"" ", passed, passed
GMPO Sanity Suite, 1010 Test, genericTestGenerator.GMPOAuto, Verify,"  ""UI Created Network with colored and colorless circuits with Cband Forcing""- ""Row_48""- ""https://ngGMPO-dev1-lnx.GMPO.com""- ""ngGMPO-aqa-win10""- ""sanityNew""- ""TestCases""- ""1010"" ", passed, passed